#,URL,Google Indexed,Priority,Depth,URL Type,Checked At
1,https://www.edstellar.com/about-us,Indexed,High,1,About Us,2026-05-06 12:03:33
2,https://www.edstellar.com/,Indexed,High,0,Homepage,2026-05-06 12:03:34
3,https://www.edstellar.com/hrms-integration,Indexed,High,1,Hrms Integration,2026-05-06 12:03:35
4,https://www.edstellar.com/training-management-software,Indexed,High,1,Training Management Software,2026-05-06 12:03:39
5,https://www.edstellar.com/quality-management-excellence-programs,Indexed,High,1,Quality Management Excellence Programs,2026-05-06 12:03:40
6,https://www.edstellar.com/exceptional-customer-experience,Indexed,High,1,Exceptional Customer Experience,2026-05-06 12:03:41
7,https://www.edstellar.com/coaching-solutions,Indexed,High,1,Coaching Solutions,2026-05-06 12:03:44
8,https://www.edstellar.com/who-we-serve,Indexed,High,1,Who We Serve,2026-05-06 12:03:44
9,https://www.edstellar.com/trainer-platform,Indexed,High,1,Trainer Platform,2026-05-06 12:03:47
10,https://www.edstellar.com/partner-program,Indexed,High,1,Partner Program,2026-05-06 12:03:51
